Title,Date,Is_Series,Series_Name,Episode_Title,Season,Year,Month,Day,Day_of_Week,Is_Weekend,Genres,Release_Year,Original_Language,Popularity,Rating,Total_Episodes
Young Sheldon: 2. Sezon: Yaşanamamış Bir Çocukluk ve Bir Kutu Karışık Çerez,2024-11-21,True,Young Sheldon,Yaşanamamış Bir Çocukluk ve Bir Kutu Karışık Çerez,2.0,2024.0,11.0,21.0,Thursday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Aile Dinamikleri ve Kırmızı Bir Fiero,2024-11-21,True,Young Sheldon,Aile Dinamikleri ve Kırmızı Bir Fiero,2.0,2024.0,11.0,21.0,Thursday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: 8 Bitlik Prenses ve Patlak Lastik Dâhisi,2024-11-20,True,Young Sheldon,8 Bitlik Prenses ve Patlak Lastik Dâhisi,2.0,2024.0,11.0,20.0,Wednesday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Radyokarbon Sınıflandırma ve Doldurulmuş Rakun,2024-11-20,True,Young Sheldon,Radyokarbon Sınıflandırma ve Doldurulmuş Rakun,2.0,2024.0,11.0,20.0,Wednesday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Yedi Ölümcül Günah ve Küçük Bir Carl Sagan,2024-11-18,True,Young Sheldon,Yedi Ölümcül Günah ve Küçük Bir Carl Sagan,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Araştırma Çalışması ve Çekoslovak Düğün Pastaları,2024-11-18,True,Young Sheldon,Araştırma Çalışması ve Çekoslovak Düğün Pastaları,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Mali Bir Sır ve Balık Sosu,2024-11-18,True,Young Sheldon,Mali Bir Sır ve Balık Sosu,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: İnanç Krizi ve Ahtapot Uzaylılar,2024-11-18,True,Young Sheldon,İnanç Krizi ve Ahtapot Uzaylılar,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Friends: 9. Sezon: İlk Buluşma,2024-11-18,True,Friends,İlk Buluşma,9.0,2024.0,11.0,18.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Young Sheldon: 2. Sezon: Rakip Deha ve Sir Isaac Neutron,2024-11-18,True,Young Sheldon,Rakip Deha ve Sir Isaac Neutron,2.0,2024.0,11.0,18.0,Monday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Young Sheldon: 2. Sezon: Tiz Uğultu ve Destek Tekerleri,2024-11-17,True,Young Sheldon,Tiz Uğultu ve Destek Tekerleri,2.0,2024.0,11.0,17.0,Sunday,True,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Jake Paul vs. Mike Tyson,2024-11-16,False,Jake Paul vs. Mike Tyson,,,2024.0,11.0,16.0,Saturday,True,Action,2024.0,en,186.035,6.227,
Young Sheldon: 1. Sezon: Pilot Bölüm,2024-11-08,True,Young Sheldon,Pilot Bölüm,1.0,2024.0,11.0,8.0,Friday,False,"Comedy, Family, Drama",2017.0,en,547.14,8.1,145.0
Suspicious Partner: Mini Dizi: 20. Bölüm,2024-11-08,True,Suspicious Partner,20. Bölüm,,2024.0,11.0,8.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 19. Bölüm,2024-11-07,True,Suspicious Partner,19. Bölüm,,2024.0,11.0,7.0,Thursday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 18. Bölüm,2024-11-07,True,Suspicious Partner,18. Bölüm,,2024.0,11.0,7.0,Thursday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 17. Bölüm,2024-11-07,True,Suspicious Partner,17. Bölüm,,2024.0,11.0,7.0,Thursday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 16. Bölüm,2024-11-07,True,Suspicious Partner,16. Bölüm,,2024.0,11.0,7.0,Thursday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 15. Bölüm,2024-11-07,True,Suspicious Partner,15. Bölüm,,2024.0,11.0,7.0,Thursday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 14. Bölüm,2024-11-06,True,Suspicious Partner,14. Bölüm,,2024.0,11.0,6.0,Wednesday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 13. Bölüm,2024-11-04,True,Suspicious Partner,13. Bölüm,,2024.0,11.0,4.0,Monday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 12. Bölüm,2024-11-04,True,Suspicious Partner,12. Bölüm,,2024.0,11.0,4.0,Monday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 11. Bölüm,2024-11-04,True,Suspicious Partner,11. Bölüm,,2024.0,11.0,4.0,Monday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 10. Bölüm,2024-11-04,True,Suspicious Partner,10. Bölüm,,2024.0,11.0,4.0,Monday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 9. Bölüm,2024-11-03,True,Suspicious Partner,9. Bölüm,,2024.0,11.0,3.0,Sunday,True,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 8. Bölüm,2024-11-03,True,Suspicious Partner,8. Bölüm,,2024.0,11.0,3.0,Sunday,True,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 7. Bölüm,2024-11-02,True,Suspicious Partner,7. Bölüm,,2024.0,11.0,2.0,Saturday,True,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 6. Bölüm,2024-11-02,True,Suspicious Partner,6. Bölüm,,2024.0,11.0,2.0,Saturday,True,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 5. Bölüm,2024-11-01,True,Suspicious Partner,5. Bölüm,,2024.0,11.0,1.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 4. Bölüm,2024-11-01,True,Suspicious Partner,4. Bölüm,,2024.0,11.0,1.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 3. Bölüm,2024-11-01,True,Suspicious Partner,3. Bölüm,,2024.0,11.0,1.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 2. Bölüm,2024-11-01,True,Suspicious Partner,2. Bölüm,,2024.0,11.0,1.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Suspicious Partner: Mini Dizi: 1. Bölüm,2024-11-01,True,Suspicious Partner,1. Bölüm,,2024.0,11.0,1.0,Friday,False,"Comedy, Crime, Drama",2017.0,ko,136.352,7.8,40.0
Doom at Your Service: Mini Dizi: 1. Bölüm,2024-10-31,True,Doom at Your Service,1. Bölüm,,2024.0,10.0,31.0,Thursday,False,"Drama, Sci-Fi & Fantasy",2021.0,ko,50.23,7.893,16.0
Welcome to Samdal-ri: Mini Dizi: Samdalri'ye Hoş Geldiniz,2024-10-31,True,Welcome to Samdal-ri,Samdalri'ye Hoş Geldiniz,,2024.0,10.0,31.0,Thursday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Bir Ejderha Büyütmek İçin Koca Bir Köy Gerekir,2024-10-31,True,Welcome to Samdal-ri,Bir Ejderha Büyütmek İçin Koca Bir Köy Gerekir,,2024.0,10.0,31.0,Thursday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Gözyaşların Kuruduğunda,2024-10-31,True,Welcome to Samdal-ri,Gözyaşların Kuruduğunda,,2024.0,10.0,31.0,Thursday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Karşılıksız Aşkın Canı Cehenneme,2024-10-30,True,Welcome to Samdal-ri,Karşılıksız Aşkın Canı Cehenneme,,2024.0,10.0,30.0,Wednesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Evine Hoş Geldin,2024-10-30,True,Welcome to Samdal-ri,Evine Hoş Geldin,,2024.0,10.0,30.0,Wednesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Öldürmeyen Şey Güçlendirir,2024-10-30,True,Welcome to Samdal-ri,Öldürmeyen Şey Güçlendirir,,2024.0,10.0,30.0,Wednesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Öngörülemeyen Etkenler,2024-10-29,True,Welcome to Samdal-ri,Öngörülemeyen Etkenler,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: İki Mi-ja’nın Hikâyesi,2024-10-29,True,Welcome to Samdal-ri,İki Mi-ja’nın Hikâyesi,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Muson Yağmurları,2024-10-29,True,Welcome to Samdal-ri,Muson Yağmurları,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Severek Ayrılmak,2024-10-29,True,Welcome to Samdal-ri,Severek Ayrılmak,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Cho Yong-Pil'den Hayaller,2024-10-29,True,Welcome to Samdal-ri,Cho Yong-Pil'den Hayaller,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Seni Anlıyorum,2024-10-29,True,Welcome to Samdal-ri,Seni Anlıyorum,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Başımın Tatlı Belası,2024-10-29,True,Welcome to Samdal-ri,Başımın Tatlı Belası,,2024.0,10.0,29.0,Tuesday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Ruh İkizlerinin Geçmişi,2024-10-28,True,Welcome to Samdal-ri,Ruh İkizlerinin Geçmişi,,2024.0,10.0,28.0,Monday,False,Drama,2023.0,ko,61.066,8.352,16.0
Welcome to Samdal-ri: Mini Dizi: Ejderhanın Gözyaşları,2024-10-28,True,Welcome to Samdal-ri,Ejderhanın Gözyaşları,,2024.0,10.0,28.0,Monday,False,Drama,2023.0,ko,61.066,8.352,16.0
Friends: 6. Sezon: Ross Gerçekleri Kabul Etmiyor,2024-10-24,True,Friends,Ross Gerçekleri Kabul Etmiyor,6.0,2024.0,10.0,24.0,Thursday,False,Comedy,1994.0,en,500.812,8.4,267.0
Kulüp: 2. Sezon: 10. Bölüm,2024-10-24,True,Kulüp,10. Bölüm,2.0,2024.0,10.0,24.0,Thursday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 9. Bölüm,2024-10-24,True,Kulüp,9. Bölüm,2.0,2024.0,10.0,24.0,Thursday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 8. Bölüm,2024-10-22,True,Kulüp,8. Bölüm,2.0,2024.0,10.0,22.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 7. Bölüm,2024-10-22,True,Kulüp,7. Bölüm,2.0,2024.0,10.0,22.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 6. Bölüm,2024-10-22,True,Kulüp,6. Bölüm,2.0,2024.0,10.0,22.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 5. Bölüm,2024-10-22,True,Kulüp,5. Bölüm,2.0,2024.0,10.0,22.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 4. Bölüm,2024-10-21,True,Kulüp,4. Bölüm,2.0,2024.0,10.0,21.0,Monday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 3. Bölüm,2024-10-21,True,Kulüp,3. Bölüm,2.0,2024.0,10.0,21.0,Monday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 2. Bölüm,2024-10-20,True,Kulüp,2. Bölüm,2.0,2024.0,10.0,20.0,Sunday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 2. Sezon: 1. Bölüm,2024-10-20,True,Kulüp,1. Bölüm,2.0,2024.0,10.0,20.0,Sunday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 10. Bölüm,2024-10-20,True,Kulüp,10. Bölüm,1.0,2024.0,10.0,20.0,Sunday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 9. Bölüm,2024-10-20,True,Kulüp,9. Bölüm,1.0,2024.0,10.0,20.0,Sunday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 8. Bölüm,2024-10-19,True,Kulüp,8. Bölüm,1.0,2024.0,10.0,19.0,Saturday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 7. Bölüm,2024-10-19,True,Kulüp,7. Bölüm,1.0,2024.0,10.0,19.0,Saturday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 6. Bölüm,2024-10-19,True,Kulüp,6. Bölüm,1.0,2024.0,10.0,19.0,Saturday,True,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 5. Bölüm,2024-10-16,True,Kulüp,5. Bölüm,1.0,2024.0,10.0,16.0,Wednesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 4. Bölüm,2024-10-16,True,Kulüp,4. Bölüm,1.0,2024.0,10.0,16.0,Wednesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 3. Bölüm,2024-10-16,True,Kulüp,3. Bölüm,1.0,2024.0,10.0,16.0,Wednesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 2. Bölüm,2024-10-15,True,Kulüp,2. Bölüm,1.0,2024.0,10.0,15.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Kulüp: 1. Sezon: 1. Bölüm,2024-10-15,True,Kulüp,1. Bölüm,1.0,2024.0,10.0,15.0,Tuesday,False,Drama,2021.0,tr,38.743,7.0,20.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 8. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,8. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 7. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,7. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 6. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,6. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 5. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,5. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 4. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,4. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 3. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,3. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 2. Bölüm,2024-10-13,True,Pera Palas'ta Gece Yarısı,2. Bölüm,2.0,2024.0,10.0,13.0,Sunday,True,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Pera Palas'ta Gece Yarısı: 2. Sezon: 1. Bölüm,2024-10-11,True,Pera Palas'ta Gece Yarısı,1. Bölüm,2.0,2024.0,10.0,11.0,Friday,False,"Drama, Mystery, Crime",2022.0,tr,18.228,7.621,16.0
Kakegurui: Ezik Kız,2024-10-06,True,Kakegurui,Ezik Kız,,2024.0,10.0,6.0,Sunday,True,"Drama, Mystery",2018.0,ja,75.341,7.8,15.0
Kung Fu Panda: Ejderha Şövalye: 1. Sezon: Şövalye Kanunu,2024-10-03,True,Kung Fu Panda,Şövalye Kanunu,1.0,2024.0,10.0,3.0,Thursday,False,"Animation, Action & Adventure, Comedy",2022.0,en,65.692,7.6,42.0
Kung Fu Panda: Ejderha Şövalye: 1. Sezon: Patiye Gaye,2024-10-03,True,Kung Fu Panda,Patiye Gaye,1.0,2024.0,10.0,3.0,Thursday,False,"Animation, Action & Adventure, Comedy",2022.0,en,65.692,7.6,42.0
Kakegurui: Yumeko Jabami Adında Bir Kız,2024-10-01,True,Kakegurui,Yumeko Jabami Adında Bir Kız,,2024.0,10.0,1.0,Tuesday,False,"Drama, Mystery",2018.0,ja,75.341,7.8,15.0
Emily in Paris: 4. Sezon: Tüm Yollar Roma'ya Çıkıyor,2024-09-14,True,Emily in Paris,Tüm Yollar Roma'ya Çıkıyor,4.0,2024.0,9.0,14.0,Saturday,True,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Roma Tatili,2024-09-14,True,Emily in Paris,Roma Tatili,4.0,2024.0,9.0,14.0,Saturday,True,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Çılgın Hayata Dönüş,2024-09-14,True,Emily in Paris,Çılgın Hayata Dönüş,4.0,2024.0,9.0,14.0,Saturday,True,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Bir Konuşabilse,2024-09-14,True,Emily in Paris,Bir Konuşabilse,4.0,2024.0,9.0,14.0,Saturday,True,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Son Noel,2024-09-13,True,Emily in Paris,Son Noel,4.0,2024.0,9.0,13.0,Friday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Göz Yanılsaması,2024-09-13,True,Emily in Paris,Göz Yanılsaması,4.0,2024.0,9.0,13.0,Friday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Gri Bölge,2024-09-13,True,Emily in Paris,Gri Bölge,4.0,2024.0,9.0,13.0,Friday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Maskeli Balo,2024-09-13,True,Emily in Paris,Maskeli Balo,4.0,2024.0,9.0,13.0,Friday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Kaçak Sevgili,2024-09-13,True,Emily in Paris,Kaçak Sevgili,4.0,2024.0,9.0,13.0,Friday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Emily in Paris: 4. Sezon: Kırılma Noktası,2024-09-11,True,Emily in Paris,Kırılma Noktası,4.0,2024.0,9.0,11.0,Wednesday,False,"Drama, Comedy",2020.0,en,120.346,7.7,40.0
Friends: 10. Sezon: Biyolojik Anne,2024-08-07,True,Friends,Biyolojik Anne,10.0,2024.0,8.0,7.0,Wednesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Joey ve Rachel'ın Öpüşmesinin Ertesi Günü,2024-08-07,True,Friends,Joey ve Rachel'ın Öpüşmesinin Ertesi Günü,10.0,2024.0,8.0,7.0,Wednesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Final: Kısım 1 ve 2,2024-08-07,True,Friends,Kısım 1 ve 2,10.0,2024.0,8.0,7.0,Wednesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Rachel'ın Veda Partisi,2024-08-06,True,Friends,Rachel'ın Veda Partisi,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Estelle'in Ölümü,2024-08-06,True,Friends,Estelle'in Ölümü,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Prenses Consuela,2024-08-06,True,Friends,Prenses Consuela,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Joey Fransızca Öğreniyor,2024-08-06,True,Friends,Joey Fransızca Öğreniyor,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Phoebe'nin Düğünü,2024-08-06,True,Friends,Phoebe'nin Düğünü,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Striptizci Ağlıyor,2024-08-06,True,Friends,Striptizci Ağlıyor,10.0,2024.0,8.0,6.0,Tuesday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Chandler Suçüstü Yakalanıyor,2024-08-05,True,Friends,Chandler Suçüstü Yakalanıyor,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Herkesin Geç Kaldığı Şükran Günü Yemeği,2024-08-05,True,Friends,Herkesin Geç Kaldığı Şükran Günü Yemeği,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Kusursuz Bir Yuva,2024-08-05,True,Friends,Kusursuz Bir Yuva,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Ross'un Araştırma Bursu,2024-08-05,True,Friends,Ross'un Araştırma Bursu,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Rachel'ın Kız Kardeşi Emma'ya Bakıyor,2024-08-05,True,Friends,Rachel'ın Kız Kardeşi Emma'ya Bakıyor,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Doğum Günü Pastası,2024-08-05,True,Friends,Doğum Günü Pastası,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Ross'un Yanık Teni,2024-08-05,True,Friends,Ross'un Yanık Teni,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 10. Sezon: Ross Gerçekten İyi,2024-08-05,True,Friends,Ross Gerçekten İyi,10.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Barbados Gezisi: Kısım 2,2024-08-05,True,Friends,Kısım 2,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Barbados Gezisi: Kısım 1,2024-08-05,True,Friends,Kısım 1,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Donör,2024-08-05,True,Friends,Donör,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Üreme Testi,2024-08-05,True,Friends,Üreme Testi,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Pembe Dizi Partisi,2024-08-05,True,Friends,Pembe Dizi Partisi,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Rachel'ın Rüyası,2024-08-05,True,Friends,Rachel'ın Rüyası,9.0,2024.0,8.0,5.0,Monday,False,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Piyango,2024-08-04,True,Friends,Piyango,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Cenaze,2024-08-04,True,Friends,Cenaze,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Göğüs Büyüttürme,2024-08-04,True,Friends,Göğüs Büyüttürme,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Gasp Travması,2024-08-04,True,Friends,Gasp Travması,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Monica'nın Karaoke Yeteneği,2024-08-04,True,Friends,Monica'nın Karaoke Yeteneği,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Phoebe'nin Sıçanları,2024-08-04,True,Friends,Phoebe'nin Sıçanları,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Rachel İşe Geri Dönüyor,2024-08-04,True,Friends,Rachel İşe Geri Dönüyor,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Tulsa'da Noel,2024-08-04,True,Friends,Tulsa'da Noel,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Rachel'ın Telefon Numarası,2024-08-04,True,Friends,Rachel'ın Telefon Numarası,9.0,2024.0,8.0,4.0,Sunday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Rachel'ın Diğer Kız Kardeşi,2024-08-03,True,Friends,Rachel'ın Diğer Kız Kardeşi,9.0,2024.0,8.0,3.0,Saturday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Ross'un Uygunsuz Ninnisi,2024-08-03,True,Friends,Ross'un Uygunsuz Ninnisi,9.0,2024.0,8.0,3.0,Saturday,True,Comedy,1994.0,en,500.812,8.4,267.0
Friends: 9. Sezon: Erkek Dadı,2024-08-01,True,Friends,Erkek Dadı,9.0,2024.0,8.0,1.0,Thursday,False,Comedy,1994.0,en,500.812,8.4,267.0
